Index,sentence_ko,sentence_en,topic_label,emotion
436,득표수를 민의에 반영해야 하는데 의원수를 민의로 하여 좌파국회의원들의 거만 국회 일방독주 강공등으로 극단의 대결구도와 정부압박으로 벼랑끝,"The number of votes should reflect the people’s will—but the leftist Assembly dominates and forces through their agenda, leading to extreme confrontation and pressure on the government.",Others,annoyance
437,본인들이 뽑은 거 아님???ㅋㅋㅋ,Weren’t *you* the ones who voted for him??? lol,People,neutral
438,ㅋㅋㅋ 서울시 의원이라니 ㅋㅋ 진짜 암덩어리네요,A Seoul city council member? What a cancerous tumor.,North Korea,annoyance
439,저 의원도 같이 체포해서 정신교육을 해야합니다,That lawmaker should be arrested too and sent for re-education.,Punishment,disapproval
440,적당히 깽판을 쳐야지 좌파들아,"Leftists, at least make your chaos more subtle.",North Korea,disapproval
441,술이 깬거야,Is your hangover gone?,Venting,annoyance
442,넌 내란의 수괴야,You’re the ringleader of this treason.,Punishment,annoyance
443,참수형이 마땅하다,You deserve the guillotine.,Punishment,surprise
444,이왕 이렇게 된거 북한이랑 우리도 74년 휴전 전쟁 종결 하자.,"While we’re at it, let’s just officially end the Korean War with North Korea.",North Korea,annoyance
445,마누라 등살에 밀려서 열받아서 계엄선포..술 취했거나..,"Got bullied by your wife, got pissed, and declared martial law… either drunk or mad.",Others,curiosity
446,비상 계엄 질러놓고 자유민주주의ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,Declaring martial law and calling it “liberal democracy” LOLLLLL,Others,approval
447,하루빨리 폭탄 윤두창 끌어내리는 게 민생이다.,The only way to protect people’s lives now is to drag down that ticking bomb Yoon as soon as possible.,People,annoyance
448,이놈은 마누라 지키려 전쟁도 불사할 놈임,This guy would literally go to war to protect his wife.,Others,annoyance
449,국회에서 과반수 찬성으로 계엄령 해제를 의결하거든 윤통은 자진 하야해야 맞다.,"If the Assembly votes to lift martial law, Yoon should resign.",People,annoyance
450,윤두광과 국방부 장관 모두 내란죄로 처벌 하라,Punish Yoon and the Defense Minister for treason.,People,disapproval
451,이번엔 말로만 좀 하지 말아봐라.,"This time, don’t just talk—do something for real.",People,amusement
452,민주주의???,Democracy???,Others,neutral
453,어이없음,What a joke.,Venting,neutral
454,중요한 탄핵에 동참 안하면 하나마나한 정치꾼일 뿐임,"If you don’t join in this critical impeachment moment, you’re just another useless politician.",Punishment,anger
455,너무 멋져요,So badass.,Venting,anger
456,화이팅,Fighting!,People,anger
457,의인 아니냐?,"A true patriot, no?",People,curiosity
458,윤 끌어내릴 확실한 명분 만들어줬자나,You gave us the perfect justification to oust Yoon.,People,disappointment
459,강하게 좌파 세력들을 척결해야 한다.,We need to ruthlessly root out the leftist forces.,North Korea,surprise
460,윤석열 대통령 적극 지지한다.,I fully support President Yoon Seok-yeol.,People,curiosity
461,잘가라 모잘아 거부권 남발은??,"Goodbye, you clown. And what about all the vetoes?",Venting,anger
462,할거면 제대로 헀어야지..ㅠ,"If you were going to do it, you should’ve done it right… sigh.",People,confusion
463,탄핵 하야는 당연하고 광화문 참수로 끝내야 한다,Impeachment and resignation are a given—end it with public execution in Gwanghwamun.,Punishment,disgust
464,정치인에게 가장 우선시 되어야 할 것은 국가와 국민이지 당이 아니다.,The top priority for a politician should be the nation and its people—not their party.,Others,curiosity
465,요즘보면 당=국가라고 착각하는 국개들이 많이 보이는데 그따위 사고방식으로는 절대 국민들 지지를 얻지 못할 것이다,"These days, too many lawmakers act like the party *is* the country. With that mindset, they’ll never earn the people’s support.",Others,disapproval
466,"하다 하다 이제는 별 짖을 다하는구나,,,,","You’ve really done it all now, haven’t you…",People,surprise
467,주문1 피고 윤건희를 파면한다,"Order 1: Fire the defendant, Keon-hee Yoon.",People,surprise
468,국힘은 윤통땜에 망가지고 민주당은 이재명땜에 망가지고둘다 없어져야됨,"PPP is ruined because of Yoon, and the Democratic Party is ruined because of Jae-myung—they both need to go.",People,disapproval
469,너네는 걍 가만히 있어라~ 서울대 출신들 대통령들은 하나같이 病身 같냐!,You guys just stay quiet. Why do all the SNU-educated presidents turn out to be idiots?!,People,anger
470,"한놈은 IMF시절을 겪게 하질 않나, 한놈은 배짱도 없고,논리도 없고, 상황파악도 안되는 놈이 계엄을 선포하질않나","One led us into the IMF crisis, the other has no guts, no logic, and no grasp of the situation—yet declares martial law?!",Others,neutral
471,참ㅎㅎㅎ 알고보니 서울대 법대출신들 하는짓들 보니 가관이다 ㅋㅋㅋ,"Wow... turns out SNU Law School grads are an absolute joke, lol.",Others,anger
472,관종도 이런 관종이 없네!!,There’s no attention-seeker like this one!!,Venting,realization
473,계엄이 무슨 뜻인줄은 아니??,Do you even know what martial law means??,Others,annoyance
474,민주당도 탄핵 그만하고 정치에 협조 좀 힌세요,"Democratic Party, stop with the endless impeachments and start cooperating.",Politics & Economics,annoyance
475,미친거아냐?,Are you insane?,Venting,anger
476,서울의봄 후속작 서울의겨울...진짜 나라 망치려고 작정했나?ㅠ,Sequel to *Spring of Seoul*—now it’s *Winter of Seoul*... are you seriously trying to destroy the country? Sigh.,North Korea,anger
477,제정신아닌 1명추가,Add another lunatic to the list.,Venting,disgust
478,혹시 윤ㅅㄹ은 민주당 엑스맨인가?,Is Yoon really the Democratic Party’s undercover X-man?,People,neutral
479,ㅋㅋㅋㅋㅋ 아저씨 노선 잘못탔어 비 ㅇ 시 ㄴ 오세우돈 ㅋㅋ,"LOL Ajusshi, you picked the wrong track—비ㅇ시ㄴ 오세우돈 LOL.",People,anger
480,광우뻥 때 보다는 댓글 반응이 조용하네.,Reactions in the comments are quieter than during the mad cow protests.,Venting,amusement
481,선동이 안 먹히는 것같다.,Guess the public’s not taking the bait this time.,Venting,amusement
482,도대체 부산은 우째그러냐.,What the hell is wrong with Busan?,Venting,disappointment
483,대화와 협상할 줄 모르는 꽉 막힌 인간이 나라 안팎으로 돌아다니며 얻는 것 하나없이 사고만 치고 돌아다니고 있다.,This stubborn guy can’t negotiate or talk—he just causes accidents inside and outside the country.,Venting,annoyance
484,탄핵이 답이다.,Impeachment is the only answer.,Punishment,realization
485,민주주의가 뭔지를 모르는 인간이 민주주의를 위해서 비상계엄을 한디?아~ 이 일을 어쩌나..,A guy who doesn’t even understand democracy declares martial law “for democracy”? What a joke...,Others,neutral
486,지혜는 없고 고집만 있는 인간을 대통령으로 만들어 놨으니..,"We put someone in office who has no wisdom, just stubbornness…",People,sadness
487,어이가없네.,Unbelievable.,Venting,annoyance
488,내려오기싫으니 사과를해?,"Won’t step down, so you think an apology will do?",People,disgust
489,죄를 지었으면 하야를 해야지 반성도 안하면서 무슨 사과.,"If you committed a crime, you resign. What’s with the fake apology?",Punishment,anger
490,계엄을 해서 미안!하면서 해프닝 취급하면 국민들이 납득하고 용서해줘야하나.,"If you say “sorry for the martial law, it was just a misunderstanding,” are the people supposed to forgive that?",Others,curiosity
492,용서못해요!!!!,Unforgivable!!!!,Venting,anger
493,박근혜 대통령 탄핵은 합법이었냐?,Was Park Geun-hye’s impeachment legal then?,Punishment,fear
494,그거야말로 진정한 불법이었지,That was the real illegal one.,Punishment,anger
495,와!,Wow!,Venting,anger
496,살다살다 별꼴을 다보네,Never thought I’d see such nonsense in my life.,Venting,desire
497,박안수야 정신차려라,"Hey, Park An-soo, get your act together.",People,disappointment
498,관심을 갖고 싶으면 개인방송에서 현직 대통령 트월킹을 해야지,"If you want attention, go livestream yourself twerking, not drag the president into this.",People,annoyance
499,뭔,What—,Venting,disapproval
501,탄핵 백번 하드라도 국민 신뢰 얻으면 돼지?김거니 단속도 못하면서 본인이 자초한일.,"Impeach him a hundred times—what matters is the people’s trust. You couldn’t even control Kim Keon-hee, and this is what you brought on yourself.",Punishment,disapproval
502,명태균한테 꼬투리 잡히지 말았어야지.,Should’ve avoided giving Myung Tae-gyun any ammo.,People,disapproval
503,모자란 대통령임을 만천하에 드러내다니!,Revealed to the entire nation what a clueless president he is!,People,anger
504,미치고 팔짝뛰겠네..,I’m losing my mind here...,Venting,anger
505,국민들이 뭘 원하는지 개무시하고나살겠다고 대한민국 골로 보내네..,Completely ignoring what the people want—driving Korea straight off a cliff.,North Korea,disapproval
506,자주독립 대한민국을 더렵히네,You’re tainting our sovereign and independent Republic of Korea.,North Korea,anger
507,콜걸년 지킬려고 국민을 볼모로 계엄 선포를 다하네.,Declared martial law just to protect your call girl.,Others,annoyance
508,얼굴이 빨개요,His face is red.,Venting,nervousness
509,내란죄다.,That’s treason.,Punishment,surprise
510,국회 과반수 재적으로 해제되었단다 ㅋ,"The Assembly already passed the motion to lift it, lol.",Others,embarrassment
511,2찍들아 ㅋ ㅋ 어휴 윤석열.모지리 ㅋ ㅋ ㅋ,"To the “voted-twice” people: LOL oh god, Yoon the dumbass, LOL.",People,surprise
512,한숨이 나온다 한숨이...,All I can do is sigh…,Venting,disappointment
513,그러게 이촉새야,"Told you, you fool.",People,sadness
514,진즉에 특검수용했으면 이런일이 안생기자나~!!!!,"If you had agreed to a special investigation earlier, this wouldn’t have happened!",Politics & Economics,annoyance
515,윤석열 =이준석 2명 똑같은 녀석,Yoon Seok-yeol = Lee Jun-seok. Two of the same breed.,People,sadness
516,깜냥도 안되는 인간 말 듣고 움직인 군인들 보면 안쓰럽다,Feel bad for the soldiers who followed orders from someone this clueless.,Others,neutral
518,괜히 시민들한테 욕만 먹고 ㅉㅉ,Now they’re just getting cussed out by civilians… tsk tsk.,Venting,relief
519,맛이 간 괴물은 빨리 끌어내려야한다,This deranged monster needs to be dragged out—fast.,Punishment,approval
520,이거 제정신 아니네,He’s completely out of his mind.,Venting,annoyance
521,말이냐 똥이냐 말같은소리를 해야지 범죄자가 빠져나가려고 별 더러운짓을 하는구만,"Is that a statement or BS? Speak like a human, not a criminal trying every filthy trick to escape.",Punishment,embarrassment
522,윤서결 과 생각이 다른사람은 모두 반국가세럭입니다,Anyone who disagrees with Yoon Seok-yeol is labeled anti-state now?,People,annoyance
523,미쳤군,He’s gone mad.,Venting,neutral
524,전쟁난줄 깜짝이야,Thought war broke out—scared the crap outta me.,Others,disapproval
525,내란죄는.,Treason?,Punishment,admiration
526,사형이다 !!!,Death penalty!!!,Punishment,disgust
527,원칙대로 하면된다 !!,Stick to the law!,Punishment,neutral
528,동훈이 이렇게 안봔는대 본색 나오네. .,Didn’t expect this from Dong-hoon—his true colors are showing…,People,curiosity
529,집안에 뿌락치 있었군,There was a spy in the house.,North Korea,disapproval
530,"이재명이 신났구나, 그래도 당신은 out 이야, 아주 새우눈에서 레이저 뿜어나오네","Lee Jae-myung’s enjoying this, but he’s still out—your shrimp eyes are shooting lasers, huh.",People,disapproval
531,너희 때문에 부산 욕먹기싫으니간 가만히 쳐 있어라,Don’t make Busan look bad—just shut up and sit down.,Venting,curiosity
532,사의 아니고 사형,"It’s not “resignation,” it’s a death sentence.",Punishment,curiosity
533,정신나갔네,Completely delusional.,Venting,neutral
534,오적놈들 이제 전부 구속이다,Time to arrest all five traitors.,Punishment,curiosity
535,"한덕새,박민새,조규새,이주새,그리고 내란죄의 수괴 윤석열이놈들 전부구속이다","Han Duck-soo, Park Min, Cho Gyu, Lee Ju, and ringleader Yoon Seok-yeol—arrest them all for treason.",People,curiosity
536,내란죄는 윤가놈 국방장관놈 그외 동조한 장관놈들 전부 내란죄로 구속이다,"Yoon and the Defense Minister, plus any supporting ministers—charge them all with treason.",People,curiosity
537,"진짜 재난엔 울리지 않는 가짜 뉴스, 가짜 경보.","During real disasters, we don’t get real alerts",Venting,amusement
538,정부 자체가 가짜라서 이렇다.,because this entire government is fake.,Venting,surprise
539,실패라 저리하고 성공했으면,If this had succeeded instead of failed…,Others,curiosity
540,참......어이없네...,Wow… I’m just speechless.,Venting,neutral
541,참..참 창피하다...,"God, how embarrassing…",Venting,nervousness
542,내가 대한국민이라는게...,Can’t believe I’m a Korean citizen…,North Korea,disgust
543,예전에는 자부심도높고....자랑스러웠는데.....,I used to be so proud of my country…,Venting,neutral
544,대한국민을 만들기 위해 순국한 수많은 위인들이...가슴치고 땅을치고...통곡할듯...쯧쯧!,"So many patriots died to build Korea—if they saw this, they’d beat the ground and weep… tsk.",North Korea,neutral
545,가뜩이나 먹구살기 힘든데.....ㅜ,Life’s already hard enough… sigh.,People,amusement
546,안타깝네요...,This is heartbreaking…,Venting,disapproval
547,대한민국!!!,South Korea!!!,North Korea,disapproval
548,술을 마~니 쳐먹더니 정신이 오락가락 하나보네~~ㅠㅜ,All that drinking—no wonder he’s losing his mind.,Venting,disapproval
549,이제야 제대로 정신차렸네,Finally snapped back to reality.,People,anger
550,지지한다,I support this.,People,neutral
551,이거 정신 못 차리네...,Still not thinking straight…,Venting,admiration
552,나라 망신이다,You’ve embarrassed the whole nation.,Venting,annoyance
553,여기저기 다들파업하긋네~~,Everyone’s gonna strike now.,People,disapproval
554,반란 실패하니 손절하네,"Fail the coup, and now they’re cutting ties.",Others,amusement
555,역시나 으리의힘,Of course—loyalty only goes so far with them.,North Korea,disapproval
556,잘한다!!,Nice work!!,Others,realization
557,징글징글 한것들 다 치워라,Get rid of all those disgusting people.,Venting,anger
558,"1년에 중국인 255만명 건강보험으로 1조원이상 쓰고, 길거리에는 중국산 킥보드가 깔려있고, 국민세금으로 보조금받는 중국산 전기버스가 점유율 50프로를 넘고, 탄소중립 타령하면서 산에 나무들 밀고 중국산 태양광패널 설치하고.","2.55 million Chinese nationals spent over 1 trillion won through Korea’s national insurance in one year. Chinese scooters litter the streets, and 50% of subsidized electric buses are Chinese. They’re cutting down forests to install Chinese solar panels in the name of carbon neutrality.",North Korea,amusement
560,대체 왜 선거로 뽑힌 권력자들이 중국공산당에게 좋은 매국노짓만 하는걸까?,Why are elected officials constantly betraying the country for the Chinese Communist Party?,Politics & Economics,neutral
561,"부정선거, 부정경선 몸통이 중국공산당이기때문이다.",Because the CCP is the root of election and primary fraud.,Others,curiosity
562,선거조작 수사나 받아라,Investigate election rigging now.,Politics & Economics,anger
563,국회에 군대가 진입한 것이 헌법 틀 안에서 한 것 맞아요???,Did the military entering the Assembly happen within the bounds of the Constitution???,Others,approval
564,행정부가 입법부 마음에 안들면 군대로 공격해도 돼요???,"If the executive disagrees with the legislature, is it okay to send the army?",Others,anger
565,삼권분립에 위배된다는 이야기 대통령이 열심히 하던데......,The president keeps talking about separation of powers...,People,anger
567,궁금하군요...,I’m curious now…,Venting,admiration
568,같은당 다른 인간을 섞어뒸으니 되겠나 한동훈이 분당해라가라 그냥 왜거기서 버티냐 국힘은 완전 엑스맨 뽑았다,"You think putting different guys from the same party together will fix anything? Han Dong-hoon, just split off and go. Why are you clinging to this party? The PPP picked a total X-man.",People,approval
569,"진보,보수를 떠나 많은 국민들이 윤석열을 용서할수 있을까?","Left or right aside, can anyone really forgive Yoon Seok-yeol now?",People,excitement
572,이건 늑대가 나타났다고 소리지르는 소년과 다를 게 없네.,This is no different from the boy who cried wolf.,Venting,approval
573,잠 들기 전 계엄에 돌입한 줄 알았다가 아침에 일어나니 해제한다고라?,"Before bed, it felt like martial law was starting—then woke up to news that it was being lifted?",Others,approval
574,고라?,Seriously?,Venting,annoyance
575,윤석렬 지지 4%로 내려앉겠네.,Yoon’s approval’s gonna crash to 4%.,People,amusement
576,대통령과 함께 하지 않으면 잘못하면 범죄자가 우리나라 대통령이 될 수 있다.,"If you don’t side with the president, we risk having a criminal become our leader.",People,neutral
577,이재명같은 자가 대통령이 된다면 국민으로서 너무 자존심이 상하지 않나?,"If someone like Lee Jae-myung becomes president, how humiliating would that be for the people?",People,neutral
578,빨간 넥타이,Red tie.,Venting,disgust
579,당연한건데 뭐라고 씨부리는겨,"Yeah, and?",Venting,neutral
580,꼴통분자 ㅋㅋㅋ,"You extremist nutjob, lol.",Venting,admiration
581,너무 늦었음.,Too late now.,Venting,anger
582,다 끝나고 사의???,Resigning *after* it’s all over???,Punishment,confusion
583,애들은 다 알고 있어고 쿠데타 가담 세력임.,The kids all know—you were part of a coup.,Others,confusion
584,사형시켜야 함.,He should be executed.,Punishment,desire
585,빨리해라~~~~,Hurry up~~~~,Venting,approval
586,진짜 가지가지 한다,You’ve really outdone yourself.,People,disapproval
587,이대통아~~아휴~,Mr. President #2… sigh…,People,anger
588,2찍들은 좋아 죽던데....,The twice-voters are loving this…,Venting,neutral
589,진짜 어이가 없다,Unbelievable.,Venting,disapproval
590,"전두환각하게서 하늘에서 ""석열아 계엄은 어설프게 하는게 아니다 지대로 해라""","Chun Doo-hwan’s probably yelling from heaven: “Seok-yeol, if you’re going to declare martial law, don’t half-ass it—do it properly.”",People,anger
591,한동훈이부터 철저히 조사해야 할것이다,Start the investigation with Han Dong-hoon.,People,disgust
592,그시절 학생들 집중세뇌받아왔고 세포조직으로 이어져왔다...,That era’s students were brainwashed and formed cell-like groups…,North Korea,disapproval
593,이자도 반드시 파헤쳐라,Dig up this guy’s background too.,Venting,admiration
594,ㅋㅋㅋㅋ 이제 계엄 뒷수습하느라 어진동 단톡방 돌릴 여력도 없지?,"LOL now you're too busy cleaning up after martial law to even check the group chats, huh?",Others,annoyance
595,"이런게 국가전복을 꾀하고 내란을 책동하며 국가와 사회의 혼란과 갈등, 분열을 야기시키며 치를 떨 정도로 싫어하는 종북좌파와 주사파들의 행동이라면서..","So this—trying to overthrow the state, stir up rebellion, and fuel chaos, conflict, and division—was all supposed to be the kind of thing leftist traitors and Juche supporters do, right?",North Korea,curiosity
596,자기들이 그렇게 앞장서서 하고있네..,They’re the ones taking the lead now…,Venting,neutral
597,앞뒤가 다른건 뭐다?,What do you call someone who says one thing and does another?,Venting,anger
598,내란선동죄이자 간첩이다!,This is incitement to insurrection—he’s a spy!,Punishment,fear
599,윤석열 대통령 화이팅~!!,"President Yoon Seok-yeol, fighting~!!",People,surprise
600,반국가세력 완전히 끝장내라~!!,Wipe out the anti-state forces once and for all~!!,North Korea,neutral
601,즉각 체포해라,Arrest them immediately.,Punishment,curiosity
602,한동훈 과거는 미웠는데..,I used to dislike Han Dong-hoon...,People,anger
603,여당 대표로서 국민을 위해 한시도 망설임,"But as party leader, he didn’t hesitate even once to speak up for the people...",Venting,disapproval
604,없이 당당히 할말을 바로 하기에..이제부터 여당안에서 큰 파워를 보유하것네..,He’s shown real strength in the ruling party now...,People,nervousness
605,요번만큼은 대단했습니다..,This time was truly impressive...,Venting,annoyance
607,이죄명 너도 잘한것없다 조용히해라,"Lee Jae-myung, you’re no better—keep quiet.",People,disgust
608,대통령은 할 수 밖에 없었고...,The president had no choice...,Venting,confusion
609,해아만 했던 일을... 엄청난 고민 끝에 결단을 내리고...,He did what had to be done... made the decision after much thought...,Venting,disapproval
610,리스크를 안고서도 실행에 옮긴 것이다...,He followed through despite the risk...,Venting,amusement
611,미친 정부네,This government is insane.,Venting,confusion
612,완전 ㄸ 아이네ㅋ,"He’s totally nuts, lol.",Venting,curiosity
613,윤석열이 부릅니다,Coming up next: Yoon Seok-yeol sings—,People,approval
614,"""차표한장""",“One Ticket.”,Venting,caring
615,명태균 발이나 닫고 살거라 은혜도 모르니 인간이면 은혜정도는 알아야지요,"Maeng Tae-gyun, just shut your mouth and show some gratitude—for once in your life, act like a human.",People,approval
616,베트남도 내부간첩들 땜에 망했지.,Vietnam fell because of internal spies too.,North Korea,approval
617,속이 다 시원하다 굿잡!^^,That was a relief—good job! ^^,Others,surprise
618,내란이 맞다 3대를 멸족시켜야 한다,It is treason. Wipe out the entire bloodline across three generations.,Punishment,annoyance
619,본인의 무능 때문 아닌지?,Maybe it's just because he’s incompetent?,Venting,neutral
620,윤석열이 어쩌다가 대통이 되어 대통령 놀이하고 쳐 돌아다니더니 이젠 보이는게 없구나.,"How the hell did Yoon Seok-yeol become president, pretending to play president all over the place, now completely blind?",People,caring
621,국민은 반드시 탄핵시켜야 한다.,The people must impeach him.,Punishment,neutral
622,민주당하는 꼬라지보면 나도 계엄지지한다!,"Seeing how the Democratic Party behaves, I support martial law too!",Others,disgust
623,예산.탄핵 이것도 어찌보먼 계엄이랑 흡사한거임,"If you look at the budget and impeachment drama, it’s basically like martial law anyway.",Others,curiosity
624,국민들 삶은 관심도없고 허구헌날 탄핵만 외쳐대는 민주당의원들 정신차려라 대통령이 오죽하면 계엄을 선포했겠나싶다,Democratic lawmakers don’t care about people’s lives—always screaming impeachment. You think the president wanted to declare martial law for fun?,Others,anger
625,눈봐라 맛갔다,Look at his eyes. He’s gone.,Venting,annoyance
626,제발 탄핵해라.,"Please, just impeach him.",Punishment,amusement
627,발등 찍었다 돌아올 수 없는 강을 건넜어체포해야지,You just smashed your own foot—you crossed the point of no return. Time to arrest.,Punishment,disgust
628,어케 저렇게 강아지새끼를 뽑은거지?,How did we elect such a damn mutt?,People,fear
629,손바닥에 왕자 적고 나오는거 보고 알았다,I knew it when he walked out with that “king” written on his palm.,Venting,curiosity
630,와 진짜 역대급이다,"Wow, this one’s legendary.",Venting,neutral
631,정신나깟다;;,"He’s lost his mind, seriously;;",Venting,anger
632,계엄이 민방위 훈련이냐?,What do you think martial law is—civil defense training?,Others,confusion
633,서울의 봄 대사 중 성공하면 혁명 실패하면 반역이랬다,"There’s a quote from *Spring of Seoul*: “If it succeeds, it’s a revolution. If it fails, it’s treason.”",North Korea,neutral
634,너는 반역이여 책임을 져라,You failed—it’s treason. Take responsibility.,Punishment,neutral
635,자라나는 청소런들도 불안에떨고있습니다,Even young students are trembling in fear.,Venting,neutral
636,걉자기 계엄령선포는 이해가안됩니다 ㅠㅜ,Suddenly declaring martial law? I don’t get it. 😢,Others,curiosity
637,"대통렁님 ,,,",Mr. President…,People,surprise
638,이제 계엄령도 다수당 국회원들이 선 포하는걸로 바꿀려고?,Now you want to change the rule so the ruling party has to declare martial law?,Others,amusement
639,나라 말아먹는 국회의원들은 정신 차려라,Lawmakers destroying the country—wake up.,Others,nervousness
640,그게바로 파렴치한 문재앙,That’s what shameless Moon Jae-in was.,People,disgust
641,이게 나라냐 민주주의 국가가 공산주의 국가로 변하거 있네,Is this even a country? A democratic nation turning into a communist one.,Politics & Economics,curiosity
642,지마누라 땅투기 걸릴까봐,All because he’s scared his wife’s land speculation might be exposed.,Venting,curiosity
643,비상계엄선포같은 소리나 하고 자빠졌으니 서민들 등골빨아먹고 부자들 세금을 건들지도 않고 대학생들도 항의면 입막고 끌려가고 박정희시대냐,"He’s declaring martial law while bleeding the working class dry, leaving the rich untouched, dragging off protesting students—are we back in Park Chung-hee’s time?",Others,curiosity
644,에효 이게 나라냐,Ugh. Is this even a country?,Venting,anger
645,"대통령 단독으로 할수는있지만, 그만한 명분이 있어야하는데, 혹, 요즘 뉴스에 나오던, 간첩질과 스파이!","Sure, the president can declare it, but there better be a damn good reason—maybe it’s about spies and espionage that were recently in the news?",North Korea,curiosity
646,북쪽의 지령~ 먼가을 잡았다고 할수도 있는데!,He might claim he caught some North Korean order or something!,North Korea,approval
647,계엄령 시간이 69시간이던가?,Was martial law for 69 hours or something?,Others,anger
648,시간이 지나면 발표을 하지않을까 하는데~ 모르겠네,Maybe they’ll make a statement after time passes—I don’t know.,Venting,curiosity
649,국회 무력화 시도가 합법이라고 ?????,Are you seriously saying attempting to disable the National Assembly is legal?????,Others,curiosity
650,늦은감이 없지 않지만 계엄령은 우리나라 운명의 마지막 보루 같습니다,"Maybe it’s a bit late, but martial law might be Korea’s last safety net.",North Korea,disapproval
651,윤대통령님 힘내시고 반듯이 국회 범죄집단들 잡아들이시고 사회곳곳에 암약하는 반국가 세력들 척결해주십시요,"President Yoon, stay strong. Please round up the criminal gangs in the Assembly and wipe out the anti-state forces hiding across society.",People,disapproval
652,우리자유 우파 국민들은 절대적으로 지지합니다,"We, the freedom-loving conservatives, support you completely.",People,amusement
653,윤 대통령 화이팅~~~,"President Yoon, fighting~~~!!",People,disapproval
654,응????,Huh????,Venting,curiosity
656,아 진짜 자극 좀 그만하고 이재명!,"Oh for god’s sake, Lee Jae-myung, stop provoking everyone.",People,amusement
657,차기 대통령 원하면!,If you want to be the next president—,People,anger
658,쫌! 국민들을 위해 일 좀 해라 무정부 상태에서 더 공포스러울게 있냐 공포조성 그만하고 처리 좀 해 이거 어떻게 수습할거야,Please! Start working for the people. Is there anything scarier than a state with no government? Stop creating fear and clean this mess up—how are you going to fix this?,Venting,disapproval
659,윤석렬 왈. 계엄군이 총을 국민들에게 쐈다면.,Yoon Seok-yeol said: if martial law troops fired at citizens—,People,neutral
660,오죽해서 군인들이 쐈겠나.,Then it must’ve been really bad for soldiers to shoot.,Others,anger
661,민즈당이 내란세력이라니 ㅋㅋㅋㅋㅋㅋㅋㅋ본인이 국정농단하더니 비판하니 내란세력이래 ㅋㅋㅋㅋㅋ,Calling the Democratic Party an insurrectionist force? LOL. You orchestrated a government scandal and now anyone criticizing you is a traitor? LOL.,Politics & Economics,anger
662,"국방방관 저 미친, 빵에나 가라","Defense Ministry—you lunatic, just go to jail.",Venting,nervousness
663,바이든 날리면 2 진짜 한심 하다 모지리들,"Biden, ""nal-li-myeon"", ""two""—you clowns are pathetic.",Venting,excitement
665,좋아 내란죄로 정당해산 가자 ㅋ,"Alright, let’s go—dissolve the party for treason, lol.",Punishment,annoyance
666,천하의 잡범 하나.,Because of one petty criminal—,Punishment,anger
667,때문에 나라가 이렇게 되네.,The whole country’s in chaos.,Venting,anger
668,죄명아 죄명아 이 죄를 어이할꼬,"Jae-myung, Jae-myung… how will you carry this sin?",People,disapproval
669,끝,The end.,People,disapproval
670,빨리끌어내야한다.,Drag him out immediately.,Punishment,amusement
671,이와중에 제일 억울한 인간.,And the most pitiful person in all this?,Venting,annoyance
672,추 갱 호.,Chu Kyung-ho.,People,neutral
674,국회가 막혔다는데.,They say the Assembly’s been blocked.,Others,curiosity
675,속보 떴더라.,It even showed up in breaking news.,Venting,anger
676,계엄 해제 못하는건가 환율은 난리 났던데.,They can’t lift martial law? Exchange rates are going nuts.,Others,disapproval
677,진짜 imf가 다시 오겠네...,Looks like another IMF crisis is coming...,Politics & Economics,annoyance
678,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 미친다~~!,LOLOLOLOL I’m losing it~~!,Venting,realization
679,2차 3차 계엄령 선포할수있으니 안심하면 안 됨,They might declare a second or third martial law—don’t get too comfortable.,Others,curiosity
680,"🐕검, 🐕경, 🐕국방부장관, 🐕판이네.","Dog prosecutor, dog police, dog defense minister, it’s a dog circus.",Venting,neutral
681,한동훈 이하 시팔명은 누구인가요?,Who are the 18 under Han Dong-hoon?,People,anger
682,조경진 비롯해서?,Including Jo Kyung-jin?,People,neutral
683,트로이목마들?,The Trojan horses?,North Korea,anger
684,윤은 돌이킬수 없는 강을 건너간거 같다,Yoon has crossed a river he can’t return from.,People,anger
685,뭐가 틀림?,What’s wrong about it?,Venting,anger
686,맞는 말인데,It’s all true.,Venting,confusion
687,개간지,Total badass.,Venting,amusement
688,윤통말이 틀린거는하나도없는데 뻔히 민주당이 해제할수있다는걸 아는데 왜했을까?,"There’s not a single lie in what Yoon said—but he knew the Democratic Party could overturn it, so why did he go ahead?",People,amusement
689,진짜 궁금함 민주당도 이제 정신차려라,"Seriously curious. Democratic Party, get your act together now.",Politics & Economics,amusement
690,"예전 조국 법무장관 청문회때, 전광석화 처럼 영창치고 수색해 재미 보더니 계엄령으로 재미 보려다 이번엔 자살골을 넣어 버렸네....","Back during Cho Kuk’s confirmation, they raided like lightning and loved it. Tried to repeat the thrill with martial law and scored an own goal this time...",Others,disapproval
691,웃기는 종자 또 출몰했네,Here comes another clown.,Venting,disgust
693,대한민국의 최대 리스크는 윤석열 윤석열의 최대 리스크는 지지자들이 정신병자 환상의 콤비,The biggest risk to South Korea is Yoon Seok-yeol. His biggest risk? His deranged fanbase. What a combo.,People,confusion
694,해제 안하면 되는거다,"Just don’t lift it, then.",Others,disapproval
